stage,source_cell_count,mean_log_G,log_coefficient,coefficient
4,27,3.1856745207541377,2.145624846901824,8.547380373194017
10,27,2.832933320633963,1.9080455591958572,6.739903175686341
15,27,0.18508830955304684,0.12466122111999747,1.1327646313220412
