left,right,metric,class_id,class_difference,full_point,leave_one_class_out_point,point_change,estimand
candidate_B,stage_only,absolute_regret,19,-0.006343275740278327,-0.0006648811291579525,-0.00028632148841659414,0.0003785596407413584,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,85,-0.0010488340839012178,-0.0006648811291579525,-0.0006392842655084015,2.559686364955109e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,131,-0.0016287406776039105,-0.0006648811291579525,-0.0006006238259282219,6.425730322973068e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,224,1.2557110556768447e-05,-0.0006648811291579525,-0.0007100436784722671,-4.516254931431459e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,301,0.021559657320586595,-0.0006648811291579525,-0.0021465170258075884,-0.0014816358966496359,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,345,0.000652855693299443,-0.0006648811291579525,-0.0007527302506551121,-8.784912149715953e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,384,-0.009746109676219885,-0.0006648811291579525,-5.946589268715693e-05,0.0006054152364707956,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,462,-0.00796558552971953,-0.0006648811291579525,-0.0001781675024538473,0.0004867136267041052,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,511,-0.0004883356743263442,-0.0006648811291579525,-0.0006766508261467263,-1.1769696988773786e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,568,-0.00891461492117452,-0.0006648811291579525,-0.00011489887635684794,0.0005499822528011046,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,679,0.0021558979020401547,-0.0006648811291579525,-0.0008529330645711596,-0.00018805193541320702,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,712,-0.0016429980784975068,-0.0006648811291579525,-0.0005996733325353155,6.520779662263707e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,780,0.004732807866783508,-0.0006648811291579525,-0.0010247270622207164,-0.0003598459330627639,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,870,-0.0001441081169150562,-0.0006648811291579525,-0.0006995993299741455,-3.471820081619298e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,888,-0.002032662651432815,-0.0006648811291579525,-0.0005736956943396283,9.118543481832428e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,absolute_regret,975,0.00020339119027540375,-0.0006648811291579525,-0.0007227659504535095,-5.788482129555697e-05,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,19,-0.003953768801860852,-0.0014458050281148955,-0.0012786074431984983,0.00016719758491639722,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,85,-0.0014682395184124689,-0.0014458050281148955,-0.0014443093954283903,1.495632686505195e-06,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,131,0.006837643696224152,-0.0014458050281148955,-0.0019980349430708316,-0.0005522299149559361,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,224,0.002984156615648534,-0.0014458050281148955,-0.0017411358043657905,-0.00029533077625089506,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,301,0.026267113088565365,-0.0014458050281148955,-0.0032933329025602457,-0.0018475278744453502,descriptive_influence_only_no_class_removed_from_primary
candidate_B,stage_only,normalized_regret,345,0.0052549811881357,-0.0014458050281148955,-0.0018925241091982683,-0.0004467190810833728,descriptive_influence_only_no_class_removed_from_primary
