stage,geometry_source,native_risk_source,source_cells,geometry_remaining_updates,native_intervention_suffix_updates,mean_source_G_actual,mean_source_G_donor,mean_source_G_iso,mean_source_L_state,mean_test_energy,mean_test_native_Y,test_candidate_rows,aggregation,pairing_information_bits_estimated
4,E1D1_8classes_3seeds,E1Pred2R2_16classes_4seeds,27,15,16,37.28769714742301,24.264291127465153,11.074653767168046,0.549220285093453,9.338506244945714,62.78309913596831,1728,separate_equal_cell_source_and_test_means,False
10,E1D1_8classes_3seeds,E1Pred2R2_16classes_4seeds,27,9,10,74.26796701451784,2.223428550410285,1.731490238290526,2.14317691933565,2.8217232356765125,17.675745881834715,1728,separate_equal_cell_source_and_test_means,False
15,E1D1_8classes_3seeds,E1Pred2R2_16classes_4seeds,27,4,5,1.5093277409655226,0.5137666659547362,0.4956367976127417,0.8528869465420954,0.781699783704118,1.2713135359484222,1728,separate_equal_cell_source_and_test_means,False
