policy,family,metric,estimand,unit_count,defined_units,class_count,complete,source,point,low,high,lower95,upper95,median,q90,q95,q99,maximum
energy,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.2928082242741966,0.12929630935998296,0.5305891380520671,0.14370072445777607,0.49064065508748406,0.0,0.10991236013759503,0.48730606862233083,3.3126008379656167,186.50799487293583
energy,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.18515315058673593,0.1738694999988509,0.19630914744397476,0.17545541595238162,0.19453249541508882,0.0,1.0,1.0,1.0,1.0
energy,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.6325231481481481,0.6157407407407407,0.6498842592592593,0.6180555555555556,0.6469907407407407,1.0,1.0,1.0,1.0,1.0
constant,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.2108042844121087,0.06302953650198005,0.4368094971345909,0.07416036900513634,0.4025870736935533,0.0,0.0,0.038122332532154704,2.0581326364566226,186.50799487293583
constant,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.04601709222557546,0.04157486394060079,0.05073311387090411,0.04222249751419234,0.04994255968939477,0.0,0.0,0.29348296165092236,1.0,1.0
constant,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.9021990740740741,0.8912037037037037,0.9131944444444444,0.8929398148148149,0.9114583333333333,1.0,1.0,1.0,1.0,1.0
latest_stage,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.019874961551830203,0.012866365784736938,0.02830666372701551,0.013825915975478196,0.02689506768863093,0.0,0.0030576197254319486,0.043997261227900424,0.5977069501238438,2.9701772721567177
latest_stage,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.052226689597462,0.04302304829993387,0.06195750652674373,0.044413875954567555,0.0604004002305838,0.0,0.021194114447830408,0.46271179540875274,1.0,1.0
latest_stage,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.890625,0.8738425925925926,0.9074074074074074,0.876736111111111,0.9050925925925926,1.0,1.0,1.0,1.0,1.0
candidate_B,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738,0.0,0.0,0.02527351961106899,1.5274302678147567,186.50799487293583
candidate_B,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.04313539301865944,0.0368728479061172,0.04965797664841739,0.03775412281222877,0.04861474491754039,0.0,0.0,0.24177412636250184,1.0,1.0
candidate_B,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.90625,0.8952546296296297,0.9166666666666666,0.8969907407407407,0.9149305555555556,1.0,1.0,1.0,1.0,1.0
stage_only,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.1871478149040961,0.04899075405625636,0.40857890940532804,0.05752834450234978,0.38270258948015023,0.0,0.0,0.0423293671437921,1.5227124922415318,186.50799487293583
stage_only,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.04458119804677434,0.03931443650871834,0.04982726901450374,0.0400964005563091,0.04897596400190238,0.0,0.0,0.2758235820316087,1.0,1.0
stage_only,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.90625,0.8981481481481481,0.9143663194444442,0.8993055555555556,0.9131944444444444,1.0,1.0,1.0,1.0,1.0
aligned_actual_source,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738,0.0,0.0,0.02527351961106899,1.5274302678147567,186.50799487293583
aligned_actual_source,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.04313539301865944,0.0368728479061172,0.04965797664841739,0.03775412281222877,0.04861474491754039,0.0,0.0,0.24177412636250184,1.0,1.0
aligned_actual_source,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.90625,0.8952546296296297,0.9166666666666666,0.8969907407407407,0.9149305555555556,1.0,1.0,1.0,1.0,1.0
aligned_donor_source,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.05431385552906287,0.034601495417969634,0.07719603307776704,0.03747724247985427,0.07338079271295532,0.0,0.0,0.09386997874511335,1.2477192033348512,14.72990208394424
aligned_donor_source,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.053453095932116,0.04333181462304178,0.0640930025886163,0.045020193166288684,0.06220226034651899,0.0,0.0,0.5125387400601289,1.0,1.0
aligned_donor_source,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.9016203703703702,0.8917824074074073,0.912037037037037,0.8929398148148149,0.9108796296296295,1.0,1.0,1.0,1.0,1.0
aligned_isotropic_source,primary,absolute_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.26447472090702506,0.10941653710671082,0.4896470341303843,0.123539862093409,0.4491638171849347,0.0,0.03643603310350868,0.2525543287297931,3.254603237524511,186.50799487293583
aligned_isotropic_source,primary,normalized_regret,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.09031226109023538,0.0811708943982807,0.09872794713312606,0.08274522410621095,0.09742855770135693,0.0,0.26069867754921366,1.0,1.0,1.0
aligned_isotropic_source,primary,oracle_hit,equal_set_seed_class_mean,1728,1728,16,True,RETROSPECTIVE_SCALAR_REANALYSIS,0.8547453703703703,0.8425925925925926,0.8668981481481481,0.8443287037037037,0.865162037037037,1.0,1.0,1.0,1.0,1.0
