table,metric,key,main,independent,abs_diff,relative_diff,tolerance,scaled_error,passed,checked_rows
score_results,low,"[""primary"", ""energy"", ""absolute_regret""]",0.12929630935998296,0.12929630935998296,0.0,0.0,1.3929630935998297e-11,0.0,True,24
score_results,lower95,"[""primary"", ""energy"", ""absolute_regret""]",0.14370072445777607,0.14370072445777607,0.0,0.0,1.5370072445777607e-11,0.0,True,24
score_results,maximum,"[""primary"", ""energy"", ""absolute_regret""]",186.50799487293583,186.50799487293583,0.0,0.0,1.8651799487293584e-08,0.0,True,24
score_results,median,"[""primary"", ""energy"", ""absolute_regret""]",0.0,0.0,0.0,0.0,1e-12,0.0,True,24
score_results,point,"[""primary"", ""energy"", ""absolute_regret""]",0.2928082242741966,0.2928082242741966,0.0,0.0,3.028082242741967e-11,0.0,True,24
score_results,q90,"[""primary"", ""energy"", ""absolute_regret""]",0.10991236013759503,0.10991236013759503,0.0,0.0,1.1991236013759503e-11,0.0,True,24
score_results,q95,"[""primary"", ""energy"", ""absolute_regret""]",0.48730606862233083,0.48730606862233083,0.0,0.0,4.973060686223309e-11,0.0,True,24
score_results,q99,"[""primary"", ""energy"", ""absolute_regret""]",3.3126008379656167,3.3126008379656167,0.0,0.0,3.3226008379656167e-10,0.0,True,24
score_results,unit_count,"[""primary"", ""energy"", ""absolute_regret""]",1728,1728,0,,0,0,True,24
score_results,upper95,"[""primary"", ""energy"", ""absolute_regret""]",0.49064065508748406,0.49064065508748406,0.0,0.0,5.006406550874841e-11,0.0,True,24
stage_coefficients,coefficient,"[""4""]",8.547380373194017,8.547380373194017,0.0,0.0,8.557380373194016e-10,0.0,True,3
stage_coefficients,log_coefficient,"[""4""]",2.145624846901824,2.145624846901824,0.0,0.0,2.155624846901824e-10,0.0,True,3
stage_coefficients,mean_log_G,"[""4""]",3.1856745207541377,3.1856745207541377,0.0,0.0,3.1956745207541376e-10,0.0,True,3
stage_coefficients,source_cell_count,"[""4""]",27,27,0,,0,0,True,3
