family,left,right,units,same_selection,different_selection,exact_selection_alias,latest_stage15_sets,pure_G_argmin_stage15_sets,estimand,source_observations_sha256
primary,latest_stage,stage_position_only,1728,1728,0,True,27,27,exact_row_choice_identity_not_mean_equality,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,latest_stage,pure_G,1728,1728,0,True,27,27,exact_row_choice_identity_not_mean_equality,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,hybrid,1728,1728,0,True,27,27,exact_row_choice_identity_not_mean_equality,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,1728,1623,105,False,27,27,exact_row_choice_identity_not_mean_equality,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
