source_file,key,field,main,reference,abs_diff,tolerance,scaled_error,source_observations_sha256
matched_cost_regret_summary.csv,primary/energy/normalized_regret,upper95,0.19453249541508882,0.19453249541508885,2.7755575615628914e-17,2.0453249541508886e-11,1.3570252276686063e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/energy/oracle_hit,point,0.6325231481481481,0.6325231481481481,0.0,6.425231481481481e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/energy/oracle_hit,low,0.6157407407407407,0.6157407407407407,0.0,6.257407407407407e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/energy/oracle_hit,high,0.6498842592592593,0.6498842592592593,0.0,6.598842592592593e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/energy/oracle_hit,lower95,0.6180555555555556,0.6180555555555556,0.0,6.280555555555555e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/energy/oracle_hit,upper95,0.6469907407407407,0.6469907407407407,0.0,6.569907407407407e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/absolute_regret,point,0.18648293377493813,0.18648293377493813,0.0,1.9648293377493813e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/absolute_regret,low,0.04735443295013846,0.04735443295013846,0.0,5.7354432950138465e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/absolute_regret,high,0.40853177105929345,0.40853177105929345,0.0,4.185317710592935e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/absolute_regret,lower95,0.0562652540654004,0.0562652540654004,0.0,6.62652540654004e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/absolute_regret,upper95,0.381590627317738,0.381590627317738,0.0,3.9159062731773806e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/normalized_regret,point,0.04313539301865944,0.04313539301865944,0.0,5.313539301865944e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/normalized_regret,low,0.0368728479061172,0.036872847906117195,6.938893903907228e-18,4.687284790611719e-12,1.4803653317172692e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
