family,set_id,policy,candidate,stage,count,total,frequency,estimand,source_observations_sha256
primary,primary_39fca70e9e59,energy,input_patch_projection_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,energy,input_patch_projection_stage10_w4,10,6.0,64,0.09375,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,energy,input_patch_projection_stage15_w4,15,58.0,64,0.90625,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,input_patch_projection_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,input_patch_projection_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,input_patch_projection_stage15_w4,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,latest_stage,input_patch_projection_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,latest_stage,input_patch_projection_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,latest_stage,input_patch_projection_stage15_w4,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,pure_G,input_patch_projection_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,pure_G,input_patch_projection_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,pure_G,input_patch_projection_stage15_w4,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,stage_position_only,input_patch_projection_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,stage_position_only,input_patch_projection_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,stage_position_only,input_patch_projection_stage15_w4,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,uniform_random_expected,input_patch_projection_stage4_w4,4,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,uniform_random_expected,input_patch_projection_stage10_w4,10,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,uniform_random_expected,input_patch_projection_stage15_w4,15,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,energy,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,energy,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,energy,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,latest_stage,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,latest_stage,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,latest_stage,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,pure_G,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,pure_G,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,pure_G,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,stage_position_only,qkv_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,stage_position_only,qkv_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,stage_position_only,qkv_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,uniform_random_expected,qkv_all_blocks_stage4_w8,4,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,uniform_random_expected,qkv_all_blocks_stage10_w8,10,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,uniform_random_expected,qkv_all_blocks_stage15_w8,15,21.333333333333332,64,0.3333333333333333,expected_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage4_w4,4,31.0,64,0.484375,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage10_w4,10,1.0,64,0.015625,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage15_w4,15,32.0,64,0.5,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,attention_output_all_blocks_stage4_w4,4,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,attention_output_all_blocks_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,attention_output_all_blocks_stage15_w4,15,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,energy,attention_output_all_blocks_stage4_w4,4,45.0,64,0.703125,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,energy,attention_output_all_blocks_stage10_w4,10,19.0,64,0.296875,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,energy,attention_output_all_blocks_stage15_w4,15,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage4_w4,4,31.0,64,0.484375,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage10_w4,10,1.0,64,0.015625,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage15_w4,15,32.0,64,0.5,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,latest_stage,attention_output_all_blocks_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,latest_stage,attention_output_all_blocks_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,latest_stage,attention_output_all_blocks_stage15_w4,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,pure_G,attention_output_all_blocks_stage4_w4,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,pure_G,attention_output_all_blocks_stage10_w4,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
