family,left,right,metric,class_index,full_point,leave_one_class_out_point,change_from_full,estimand,class_id,source_observations_sha256
primary,candidate_B,energy,normalized_regret,7,-0.14201775756807644,-0.14296299309728316,-0.0009452355292067227,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,8,-0.14201775756807644,-0.14040683176657712,0.0016109258014993244,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,9,-0.14201775756807644,-0.14105581653484764,0.0009619410332288025,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,10,-0.14201775756807644,-0.14219930258713845,-0.00018154501906200715,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,11,-0.14201775756807644,-0.13946628358608806,0.002551473981988378,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,12,-0.14201775756807644,-0.14344738578761665,-0.0014296282195402077,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,13,-0.14201775756807644,-0.14231779300463934,-0.000300035436562901,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,14,-0.14201775756807644,-0.14131787743037819,0.0006998801376982555,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,15,-0.14201775756807644,-0.14103146487388346,0.0009862926941929806,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,0,0.27372685185185186,0.27469135802469136,0.0009645061728394966,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,1,0.27372685185185186,0.27716049382716046,0.003433641975308599,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,2,0.27372685185185186,0.2802469135802469,0.006520061728395032,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,3,0.27372685185185186,0.2728395061728394,-0.0008873456790124412,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,4,0.27372685185185186,0.2716049382716049,-0.002121913580246937,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,5,0.27372685185185186,0.2765432098765432,0.0028163580246913233,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,6,0.27372685185185186,0.2716049382716049,-0.002121913580246937,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,7,0.27372685185185186,0.2709876543209876,-0.002739197530864268,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,8,0.27372685185185186,0.2728395061728394,-0.0008873456790124412,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,9,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,10,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,11,0.27372685185185186,0.26913580246913577,-0.004591049382716095,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,12,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,13,0.27372685185185186,0.27777777777777773,0.0040509259259258745,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,14,0.27372685185185186,0.27222222222222214,-0.0015046296296297168,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,15,0.27372685185185186,0.27160493827160487,-0.0021219135802469924,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,0,-0.02432135063717053,-0.025606563324233982,-0.0012852126870634521,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,1,-0.02432135063717053,-0.02514897179048714,-0.00082762115331661,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,2,-0.02432135063717053,-0.026196572792992145,-0.0018752221558216153,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,3,-0.02432135063717053,-0.025703451194084036,-0.0013821005569135056,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,4,-0.02432135063717053,-0.025186008462332068,-0.0008646578251615376,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,5,-0.02432135063717053,-0.025892325128652523,-0.0015709744914819933,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,6,-0.02432135063717053,-0.02560529328989878,-0.0012839426527282496,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,7,-0.02432135063717053,-0.025986864846044413,-0.0016655142088738834,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,8,-0.02432135063717053,-0.024929745398269657,-0.0006083947610991264,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,9,-0.02432135063717053,-0.022212047775290077,0.002109302861880453,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,10,-0.02432135063717053,-0.015784266343096615,0.008537084294073915,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,11,-0.02432135063717053,-0.02584159975540039,-0.0015202491182298612,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,12,-0.02432135063717053,-0.025478398193840138,-0.0011570475566696076,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,13,-0.02432135063717053,-0.025890255693050885,-0.0015689050558803548,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,14,-0.02432135063717053,-0.025436317094092522,-0.0011149664569219918,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,15,-0.02432135063717053,-0.018242929112963123,0.006078421524207407,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,0,-0.00288169920691601,-0.0028653741237608596,1.6325083155150494e-05,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,1,-0.00288169920691601,-0.0024696957392790486,0.00041200346763696147,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,2,-0.00288169920691601,-0.0035530455779756867,-0.0006713463710596767,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,3,-0.00288169920691601,-0.0039173826270836746,-0.0010356834201676645,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,4,-0.00288169920691601,-0.004207669409330818,-0.001325970202414808,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,5,-0.00288169920691601,-0.002918884788314991,-3.718558139898095e-05,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,6,-0.00288169920691601,-0.002580295143659288,0.00030140406325672225,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,7,-0.00288169920691601,-0.003317919279285215,-0.000436220072369205,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,8,-0.00288169920691601,-0.0028857638728261898,-4.064665910179666e-06,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,9,-0.00288169920691601,-0.0023271169245917805,0.0005545822823242296,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,10,-0.00288169920691601,-0.0034940908004584105,-0.0006123915935424004,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,11,-0.00288169920691601,-0.0020352327182790787,0.0008464664886369314,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,12,-0.00288169920691601,-0.0023805184307564655,0.0005011807761595446,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,13,-0.00288169920691601,-0.002231586283446644,0.0006501129234693661,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,14,-0.00288169920691601,-0.002284582610797064,0.0005971165961189463,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,15,-0.00288169920691601,-0.0026380289808109474,0.0002436702261050627,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,0,0.004050925925925923,0.004320987654320985,0.00027006172839506154,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,1,0.004050925925925923,0.0037037037037036978,-0.0003472222222222253,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,2,0.004050925925925923,0.006172839506172837,0.0021219135802469143,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,3,0.004050925925925923,0.006172839506172823,0.0021219135802468996,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,4,0.004050925925925923,0.0055555555555555506,0.0015046296296296275,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,5,0.004050925925925923,0.0030864197530864187,-0.0009645061728395044,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,6,0.004050925925925923,0.003703703703703705,-0.00034722222222221795,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,7,0.004050925925925923,0.0055555555555555506,0.0015046296296296275,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,8,0.004050925925925923,0.0018518518518518526,-0.0021990740740740703,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,9,0.004050925925925923,0.003703703703703705,-0.00034722222222221795,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,10,0.004050925925925923,0.0049382716049382715,0.0008873456790123484,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,11,0.004050925925925923,0.0030864197530864187,-0.0009645061728395044,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,12,0.004050925925925923,0.003086419753086426,-0.000964506172839497,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,13,0.004050925925925923,0.003703703703703705,-0.00034722222222221795,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,14,0.004050925925925923,0.002469135802469132,-0.0015817901234567912,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,15,0.004050925925925923,0.0037037037037036904,-0.0003472222222222327,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,0,0.16660797222310794,0.17726414343751737,0.010656171214409427,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,1,0.16660797222310794,0.06438976761290358,-0.10221820461020437,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,2,0.16660797222310794,0.1773385509558046,0.010730578732696672,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,3,0.16660797222310794,0.176509613609466,0.009901641386358045,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,4,0.16660797222310794,0.16201725212093054,-0.004590720102177398,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,5,0.16660797222310794,0.17855068094847895,0.01194270872537101,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,6,0.16660797222310794,0.17834744901146932,0.011739476788361375,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,7,0.16660797222310794,0.17282057086862,0.006212598645512046,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,8,0.16660797222310794,0.17741630914245923,0.010808336919351291,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,9,0.16660797222310794,0.1762517727711084,0.009643800548000458,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,10,0.16660797222310794,0.16720064180036737,0.0005926695772594248,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,11,0.16660797222310794,0.17663951489533633,0.010031542672228388,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,12,0.16660797222310794,0.179997635828579,0.013389663605471058,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
