rank,direction,family,class_id,seed,set_id,left,right,left_selected,right_selected,decision_changed,absolute_difference,normalized_difference,estimand,unit,source_observations_sha256
20,largest_worsening,primary,975,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.02463067434045739,0.0002229147011644715,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
1,largest_improvement,primary,19,81,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-40.73845567995546,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
2,largest_improvement,primary,679,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-18.69596083738753,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
3,largest_improvement,primary,679,82,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-12.057102838007415,-0.19925251456582807,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
4,largest_improvement,primary,85,82,primary_d82bcfdaeedc,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,True,-9.242668070905026,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
5,largest_improvement,primary,511,79,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-9.120213269433151,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
6,largest_improvement,primary,568,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-5.836088148003056,-0.5241326045819941,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
7,largest_improvement,primary,780,81,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-4.4411432168661245,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
8,largest_improvement,primary,679,79,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-3.6184700729932615,-0.19378717954354077,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
9,largest_improvement,primary,870,82,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-3.321853571573669,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
10,largest_improvement,primary,131,79,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-3.2875841878401393,-0.678777606139027,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
11,largest_improvement,primary,85,82,primary_52112c337d08,candidate_B,energy,attention_output_all_blocks_stage15_w6,attention_output_all_blocks_stage4_w6,True,-2.1278688733540894,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
12,largest_improvement,primary,511,79,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-2.0895085329072884,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
13,largest_improvement,primary,679,81,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-2.0665034337108636,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
14,largest_improvement,primary,301,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-1.9733015090159252,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
15,largest_improvement,primary,301,82,primary_d0adb13a6bdf,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w4,mlp_up_gate_all_blocks_stage4_w4,True,-1.9668856402270265,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
16,largest_improvement,primary,870,82,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-1.9609864847850536,-0.10510608068607091,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
17,largest_improvement,primary,870,81,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-1.7367219767725146,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
18,largest_improvement,primary,780,81,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-1.7021723518621703,-0.1731086036983734,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
19,largest_improvement,primary,462,81,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-1.6912031278193356,-0.643193281798998,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
20,largest_improvement,primary,679,80,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-1.5648060785726443,-0.5393783384830121,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
1,largest_worsening,primary,679,79,primary_d82bcfdaeedc,candidate_B,constant,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage15_w6,True,2.2640375049313524,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
2,largest_worsening,primary,301,81,primary_d82bcfdaeedc,candidate_B,constant,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage15_w6,True,1.7436878283908044,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
3,largest_worsening,primary,780,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,1.2044097386384323,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
4,largest_worsening,primary,301,81,primary_52112c337d08,candidate_B,constant,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,True,0.7670506094364526,0.829274043760437,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
5,largest_worsening,primary,511,79,primary_d82bcfdaeedc,candidate_B,constant,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage15_w6,True,0.577361785202072,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
6,largest_worsening,primary,888,79,primary_d82bcfdaeedc,candidate_B,constant,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage15_w6,True,0.22749623556438797,0.8118303653655394,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
7,largest_worsening,primary,131,82,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.2132745979447499,0.6447845907009659,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
8,largest_worsening,primary,85,81,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.20166889354362633,0.9649026829449991,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
9,largest_worsening,primary,870,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.16721392975210847,0.860657472564653,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
10,largest_worsening,primary,131,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.15481966962984473,0.962213450356766,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
11,largest_worsening,primary,301,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.1244421481516298,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
12,largest_worsening,primary,568,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.11392476656464015,0.1941230073506421,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
13,largest_worsening,primary,224,80,primary_494f26df6416,candidate_B,constant,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.11070570637878062,0.7676492322729234,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
