table,metric,key,main,independent,abs_diff,relative_diff,tolerance,scaled_error,passed,checked_rows
exploratory_subset_results,low,"[""exploratory_oracle_majority_lt_0.75"", ""uniform_random_expected"", ""normalized_regret""]",0.4325703198137016,0.43257031981370153,5.551115123125783e-17,1.283286177728635e-16,4.425703198137016e-11,1.2542899680806668e-06,True,24
exploratory_subset_results,lower95,"[""exploratory_oracle_majority_lt_0.75"", ""uniform_random_expected"", ""absolute_regret""]",0.5914859554464108,0.5914859554464109,1.1102230246251565e-16,1.8770065703204066e-16,6.014859554464109e-11,1.8458004124155668e-06,True,24
exploratory_subset_results,point,"[""exploratory_oracle_majority_lt_0.75"", ""uniform_random_expected"", ""normalized_regret""]",0.44303710606608926,0.4430371060660892,5.551115123125783e-17,1.2529684414961183e-16,4.5303710606608925e-11,1.2253113594443594e-06,True,24
exploratory_subset_results,upper95,"[""exploratory_oracle_majority_lt_0.75"", ""uniform_random_expected"", ""normalized_regret""]",0.4515289485188175,0.4515289485188174,5.551115123125783e-17,1.2294040374012564e-16,4.6152894851881745e-11,1.2027664008814505e-06,True,24
historical_summary,high,"[""primary"", ""constant"", ""absolute_regret""]",0.4368094971345909,0.4368094971345909,0.0,0.0,4.468094971345909e-11,0.0,True,12
historical_summary,low,"[""primary"", ""candidate_B"", ""normalized_regret""]",0.036872847906117195,0.0368728479061172,6.938893903907228e-18,1.8818437679602357e-16,4.68728479061172e-12,1.480365331717269e-06,True,12
historical_summary,lower95,"[""primary"", ""constant"", ""absolute_regret""]",0.07416036900513634,0.07416036900513634,0.0,0.0,8.416036900513634e-12,0.0,True,12
historical_summary,point,"[""primary"", ""constant"", ""absolute_regret""]",0.2108042844121087,0.2108042844121087,0.0,0.0,2.208042844121087e-11,0.0,True,12
historical_summary,upper95,"[""primary"", ""energy"", ""normalized_regret""]",0.19453249541508885,0.19453249541508882,2.7755575615628914e-17,1.4267835076296493e-16,2.0453249541508882e-11,1.3570252276686065e-06,True,12
leave_one_class_out,change_from_full,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",0.01920571725932199,0.01920571725932199,0.0,0.0,2.9205717259321996e-12,0.0,True,336
leave_one_class_out,class_index,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",0,0,0,,0,0,True,336
leave_one_class_out,full_point,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",-0.10632529049925843,-0.10632529049925843,0.0,0.0,1.1632529049925844e-11,0.0,True,336
leave_one_class_out,leave_one_class_out_point,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",-0.08711957323993644,-0.08711957323993644,0.0,0.0,9.711957323993644e-12,0.0,True,336
manifest,draws,"""bootstrap""",10000,10000,0,,0,0,True,1
manifest,indices_sha256,"""bootstrap""",2f110408df13144fbe6302ff3d52705bcb1965734593261b54c7e78c3e760a77,2f110408df13144fbe6302ff3d52705bcb1965734593261b54c7e78c3e760a77,0,,0,0,True,1
manifest,seed,"""bootstrap""",2026091101,2026091101,0,,0,0,True,1
oracle_frequency,count,"[""primary"", ""primary_019d7c31a48b"", ""oracle"", ""mlp_up_gate_all_blocks_stage4_w8""]",0,0,0,,0,0,True,81
oracle_frequency,frequency,"[""primary"", ""primary_019d7c31a48b"", ""oracle"", ""mlp_up_gate_all_blocks_stage4_w8""]",0.0,0.0,0.0,0.0,1e-12,0.0,True,81
oracle_frequency,stage,"[""primary"", ""primary_019d7c31a48b"", ""oracle"", ""mlp_up_gate_all_blocks_stage4_w8""]",4,4,0,,0,0,True,81
oracle_frequency,total,"[""primary"", ""primary_019d7c31a48b"", ""oracle"", ""mlp_up_gate_all_blocks_stage4_w8""]",64,64,0,,0,0,True,81
oracle_headroom,H_abs,"[""primary"", ""primary_abefa8b91ecd""]",-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.014210854715202004,1e-12,0.014210854715202004,True,27
oracle_headroom,H_normalized,"[""primary"", ""primary_494f26df6416""]",0.25395994201463906,0.253959942014639,5.551115123125783e-17,2.1858231180434742e-16,2.63959942014639e-11,2.1030142228239777e-06,True,27
oracle_headroom,empirical_best_fixed_abs_candidate,"[""primary"", ""primary_019d7c31a48b""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,27
oracle_headroom,empirical_best_fixed_nr_candidate,"[""primary"", ""primary_019d7c31a48b""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,27
oracle_headroom,fully_fixed,"[""primary"", ""primary_019d7c31a48b""]",False,False,0,,0,0,True,27
oracle_headroom,majority_candidate,"[""primary"", ""primary_019d7c31a48b""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,27
oracle_headroom,majority_rate,"[""primary"", ""primary_019d7c31a48b""]",0.984375,0.984375,0.0,0.0,9.94375e-11,0.0,True,27
oracle_headroom,majority_stage,"[""primary"", ""primary_019d7c31a48b""]",15,15,0,,0,0,True,27
oracle_headroom,oracle_entropy_bits,"[""primary"", ""primary_019d7c31a48b""]",0.11611507530476972,0.11611507530476972,0.0,0.0,1.2611507530476972e-11,0.0,True,27
oracle_headroom,oracle_tie_units,"[""primary"", ""primary_019d7c31a48b""]",0,0,0,,0,0,True,27
paired_comparisons,exact_tie,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",0,0,0,,0,0,True,21
