summary_type,group_name,stage_index,weight_bits,cell_count,median,mean,interquartile_range,interdecile_range,positive_cell_count,negative_cell_count,tangent_supported_cell_count,high_curvature_cell_count
group,adaln_conditioning_all_blocks,,,9,1.653116392415031,1.8961405824186524,1.8811133682940884,3.0397075596105996,9,0,9,5
group,adaln_modulation_projection_all_blocks,,,9,1.5791657459659747,1.6218109878809095,1.0609799808530818,2.5900765854311443,9,0,9,5
group,attention_output_all_blocks,,,9,1.615941823279467,1.62452803376829,1.6346683862305988,2.4923107204484722,8,1,9,5
group,input_patch_projection,,,9,0.3299755541493787,0.24044226518352582,0.46825611968857106,0.8038097931997502,6,3,9,6
group,mlp_down_all_blocks,,,9,2.003632618612248,1.767391720753883,0.962824518090087,1.7126976485710532,8,1,9,3
group,mlp_up_gate_all_blocks,,,9,1.530339024235577,1.7644595889417365,1.3322604557504185,3.0900602495048144,8,1,9,6
group,output_conditioning_projection,,,9,0.0997623546969838,-0.018815363760097594,0.49526846271238095,1.9557005015996054,5,4,9,3
group,output_head_projection,,,9,0.06250671769266702,0.1352016622427503,0.40746532993002466,1.5688100629441886,6,3,9,6
group,qkv_all_blocks,,,9,1.3088129215106432,1.6046929754839445,1.2787679235651743,2.105273831487036,9,0,9,8
stage,,10.0,,27,2.4220511419609214,2.14317691933565,1.9942246447239986,3.123169236145815,26,1,27,18
stage,,15.0,,27,1.0441481414843647,0.8528869465420954,1.4767971913690923,1.643623954339857,22,5,27,5
stage,,4.0,,27,0.5130902912640759,0.549220285093453,1.0418427364579625,2.7058096312583437,20,7,27,24
bitwidth,,,4.0,27,1.027444745954625,1.219961118308878,1.591855256141038,2.890200475539288,25,2,27,19
bitwidth,,,6.0,27,1.452359485127441,1.4003257609040498,1.7234292563025932,3.302949713597989,22,5,27,15
bitwidth,,,8.0,27,0.7223376522611079,0.9249972717582706,0.964728696145572,2.517250773922249,21,6,27,13
group_x_stage,adaln_conditioning_all_blocks,10.0,,3,3.4532258710437262,3.3023543618169016,0.3383171007773651,0.541307361243784,3,0,3,2
group_x_stage,adaln_conditioning_all_blocks,15.0,,3,1.6204345837526204,1.427013038099896,0.32281412714149726,0.5165026034263955,3,0,3,0
group_x_stage,adaln_conditioning_all_blocks,4.0,,3,0.5035785198018933,0.9590543473391596,1.0215049462126036,1.6344079139401657,3,0,3,3
group_x_stage,adaln_modulation_projection_all_blocks,10.0,,3,3.018085902588988,2.732330089922923,0.4836630621076652,0.7738608993722642,3,0,3,2
group_x_stage,adaln_modulation_projection_all_blocks,15.0,,3,1.3257436093373414,1.131695331585661,0.5444945532561539,0.8711912852098461,3,0,3,1
group_x_stage,adaln_modulation_projection_all_blocks,4.0,,3,1.0448091406291435,1.0014075421341448,0.7453373718035247,1.1925397948856395,3,0,3,2
group_x_stage,attention_output_all_blocks,10.0,,3,2.913804761294717,2.9632306343453916,0.32583043868550465,0.5213287018968078,3,0,3,1
group_x_stage,attention_output_all_blocks,15.0,,3,1.615941823279467,1.318934132033663,0.44809263414965317,0.7169482146394452,3,0,3,1
group_x_stage,attention_output_all_blocks,4.0,,3,1.027444745954625,0.5914193349258149,0.7553177859631008,1.2085084575409613,2,1,3,3
group_x_stage,input_patch_projection,10.0,,3,0.4458176018834481,0.6635875423216838,0.4419176439916077,0.7070682303865724,3,0,3,3
group_x_stage,input_patch_projection,15.0,,3,-0.022438517805122977,-0.014265329161810591,0.02113265170201959,0.03381224272323135,1,2,3,0
group_x_stage,input_patch_projection,4.0,,3,0.3299755541493787,0.07200458239070427,0.5700711947527088,0.9121139116043342,2,1,3,3
group_x_stage,mlp_down_all_blocks,10.0,,3,2.5832755963135345,2.4926923290822613,0.1818540032952436,0.2909664052723899,3,0,3,0
group_x_stage,mlp_down_all_blocks,15.0,,3,1.452359485127441,1.3539487640211865,0.1919725895890807,0.30715614334252916,3,0,3,1
group_x_stage,mlp_down_all_blocks,4.0,,3,2.003632618612248,1.4555340691582008,1.2336992087863512,1.9739187340581617,2,1,3,2
group_x_stage,mlp_up_gate_all_blocks,10.0,,3,2.87733811203108,3.5154794853510922,1.4507707078450984,2.3212331325521576,3,0,3,3
group_x_stage,mlp_up_gate_all_blocks,15.0,,3,1.530339024235577,1.4042996894287088,0.2897610136096931,0.46361762177550925,3,0,3,0
group_x_stage,mlp_up_gate_all_blocks,4.0,,3,0.4305357541338829,0.3735995920454087,0.7229024470802582,1.1566439153284132,2,1,3,3
group_x_stage,output_conditioning_projection,10.0,,3,0.8347590524392958,0.7942831054792535,0.33463718999717873,0.5354195039954859,3,0,3,1
group_x_stage,output_conditioning_projection,15.0,,3,-0.0271831445487162,0.005572896479313483,0.07781143770365548,0.12449830032584877,1,2,3,0
group_x_stage,output_conditioning_projection,4.0,,3,-0.8105522014292524,-0.8563020932388598,1.2093981313837583,1.9350370102140135,1,2,3,2
group_x_stage,output_head_projection,10.0,,3,0.3154296596592976,0.11471021989408604,0.3900472037436617,0.6240755259898587,2,1,3,3
