cell_id,cell_index,group_name,stage_index,weight_bits,discovery_L_EDG_state,L-EDG-state,cell_tangent_status,sign_agreement,confirmation_to_discovery_shrinkage,robust_predicted_confirmation,robust_residual,overall_spearman,spearman_class_bootstrap_95_ci_low,spearman_class_bootstrap_95_ci_high,theil_sen_slope,theil_sen_intercept,theil_sen_slope_95_ci_low,theil_sen_slope_95_ci_high
adaln_conditioning_all_blocks_stage10_w6,1,adaln_conditioning_all_blocks,10,6,3.5652357079808548,2.6366612017915974,E1C_TANGENT_SUPPORTED,True,0.7395475131950956,2.597865902290999,0.03879529950059846,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
adaln_modulation_projection_all_blocks_stage10_w4,2,adaln_modulation_projection_all_blocks,10,4,3.073115245697556,3.0656718349036547,E1C_TANGENT_SUPPORTED,True,0.9975778940264859,2.3432370192076037,0.722434815696051,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
attention_output_all_blocks_stage10_w6,3,attention_output_all_blocks,10,6,3.3137740095562336,3.7497504249761273,E1C_TANGENT_SUPPORTED,True,1.1315649208915963,2.467756678400904,1.2819937465752234,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
input_patch_projection_stage10_w6,4,input_patch_projection,10,6,1.2143901565324091,0.6727402978453713,E1C_TANGENT_SUPPORTED,True,0.5539737737716235,1.381510918209286,-0.7087706203639147,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
mlp_down_all_blocks_stage10_w6,5,mlp_down_all_blocks,10,6,2.629254698761868,2.744359324817638,E1C_TANGENT_SUPPORTED,True,1.0437784236384453,2.11357838077863,0.630780944039008,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
mlp_up_gate_all_blocks_stage10_w4,6,mlp_up_gate_all_blocks,10,4,5.285320879856196,2.6072993695695073,E1C_TANGENT_SUPPORTED,True,0.4933095698137531,3.487858088535015,-0.8805587189655077,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
output_conditioning_projection_stage10_w8,7,output_conditioning_projection,10,8,1.1086823219964113,-0.07498407071607549,E1C_TANGENT_SUPPORTED,False,-0.06763350441184197,1.3268164482492648,-1.4018005189653402,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
output_head_projection_stage4_w8,8,output_head_projection,4,8,1.2974035529666523,0.8607446235848617,E1C_TANGENT_SUPPORTED,True,0.6634363083226317,1.4244630204586783,-0.5637183968738166,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
qkv_all_blocks_stage10_w6,9,qkv_all_blocks,10,6,3.9993073778559816,2.118351706596087,E1C_TANGENT_SUPPORTED,True,0.5296796436116221,2.822459661236997,-0.7041079546409099,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
attention_output_all_blocks_stage4_w8,10,attention_output_all_blocks,4,8,-0.381911156551691,0.38103803084714155,E1C_TANGENT_SUPPORTED,False,-0.99771379890435,0.5555659482942304,-0.1745279174470889,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
input_patch_projection_stage4_w4,11,input_patch_projection,4,4,-0.6270520982413418,1.1936641044641316,E1C_TANGENT_SUPPORTED,False,-1.9036123279260768,0.42872715786711274,0.7649369465970188,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
mlp_down_all_blocks_stage4_w8,12,mlp_down_all_blocks,4,8,-0.0522144143551739,1.4931080633944025,E1C_TANGENT_SUPPORTED,False,-28.59570641237023,0.7261548988780527,0.7669531645163498,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
mlp_up_gate_all_blocks_stage4_w8,13,mlp_up_gate_all_blocks,4,8,-0.3777709360790866,0.22273716550286654,E1C_TANGENT_SUPPORTED,False,-0.5896090573157179,0.5577081467912549,-0.33497098128838837,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
output_conditioning_projection_stage4_w4,14,output_conditioning_projection,4,4,-2.088575170527422,0.984757880215755,E1C_TANGENT_SUPPORTED,False,-0.4714974563099287,-0.32748197387710754,1.3122398540928626,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
