policy,metric,point,low,high,lower95,upper95
S0,mean,0.2632553828636426,0.10612241760509872,0.47827281664060994,0.12539386016741422,0.43676156823863566
S0,E_rel_rate,0.04513888888888889,0.03587962962962963,0.054976851851851846,0.037037037037037035,0.05324074074074074
S0,E_severe_rate,0.03356481481481482,0.02546296296296296,0.04282407407407407,0.02662037037037037,0.041087962962962965
S0,Q95,0.06338318193343001,0.02042153241605485,0.1382756988978199,0.024657681504626817,0.11522604444305645
candidate_B,mean,0.20613652188914994,0.08430169381717778,0.37066225587249224,0.09804894661326169,0.33815173597760717
candidate_B,E_rel_rate,0.046875,0.03993055555555555,0.05381944444444445,0.041087962962962965,0.052662037037037035
candidate_B,E_severe_rate,0.03125,0.026041666666666664,0.03645833333333333,0.02719907407407407,0.03530092592592593
candidate_B,Q95,0.03781324969860456,0.02714168007673834,0.06445616598520588,0.02742845565989072,0.061390497265847443
constant,mean,0.33764684523919786,0.1425639366572306,0.5800140884238238,0.1656257848830759,0.5373456779449317
constant,E_rel_rate,0.045717592592592594,0.03645833333333333,0.05555555555555555,0.03761574074074074,0.05381944444444445
constant,E_severe_rate,0.03414351851851852,0.026041666666666664,0.043402777777777776,0.02719907407407407,0.041666666666666664
constant,Q95,0.07039613897580914,0.02042591525451753,0.16335355211566605,0.024657681504626817,0.14309184694350507
energy,mean,0.46020452127987177,0.23589091928513206,0.73297344306235,0.26653297262046993,0.6798152451502018
energy,E_rel_rate,0.16550925925925927,0.1394675925925926,0.19270833333333331,0.14351851851851852,0.1880787037037037
energy,E_severe_rate,0.13310185185185186,0.11053240740740741,0.15740740740740738,0.11397569444444447,0.1527777777777778
energy,Q95,0.7588255143871513,0.3583098664899827,1.263106927992922,0.3884408611447333,1.1053136540631194
step_select,mean,0.47034744641808596,0.2277412302641961,0.7597475442487857,0.25698480682541036,0.7102350231452602
step_select,E_rel_rate,0.0630787037037037,0.050347222222222224,0.07638888888888888,0.05208333333333333,0.07407407407407407
step_select,E_severe_rate,0.047453703703703706,0.037037037037037035,0.057870370370370364,0.03877314814814815,0.05613425925925926
step_select,Q95,0.439480420176519,0.22282356289889602,1.0296495544527833,0.259462250856829,0.9629598528346432
