estimator,target_kind,metric,scope,point,lower95,upper95,defined_classes,total_classes,help,hurt,tie
mean,operational,err_abs_noJ,available_balanced,1.8186319459826958,1.7955911906541902,1.8402182276507533,8,8,,,
mean,operational,err_abs_scalar,available_balanced,0.43765681094390363,0.39572975854923054,0.4791177263482504,8,8,,,
mean,operational,err_abs_full,available_balanced,0.44791384201297596,0.38507467457089284,0.5217708685039435,8,8,,,
mean,operational,err_sq_noJ,available_balanced,9.247655015873253,9.013961937826835,9.486029665449566,8,8,,,
mean,operational,err_sq_scalar,available_balanced,0.8930506406552858,0.7376058171856534,1.0460457096047784,8,8,,,
mean,operational,err_sq_full,available_balanced,1.422823332634609,0.8888034568575802,2.07523825772737,8,8,,,
mean,operational,err_rel_noJ,available_balanced,0.31402017079000655,0.3100916723664602,0.3178666562325882,8,8,,,
mean,operational,err_rel_scalar,available_balanced,0.0810029163098076,0.07324234774960776,0.08864109154480554,8,8,,,
mean,operational,err_rel_full,available_balanced,0.030499247943113393,0.025224038266464542,0.037086241641793874,8,8,,,
mean,operational,abs_full_minus_scalar,available_balanced,0.010257031069072282,-0.0493295519449765,0.08334563696936302,8,8,,,
mean,operational,abs_full_minus_noJ,available_balanced,-1.37071810396972,-1.4400542307546733,-1.291149808334443,8,8,,,
mean,operational,abs_scalar_minus_noJ,available_balanced,-1.3809751350387924,-1.4190807825730274,-1.3458732180680824,8,8,,,
mean,scheduler64,err_abs_noJ,available_balanced,1.81863195377333,1.7955911972462484,1.8402182416696833,8,8,,,
mean,scheduler64,err_abs_scalar,available_balanced,0.43765678827578114,0.3957297415299505,0.4791176977112877,8,8,,,
mean,scheduler64,err_abs_full,available_balanced,0.4479138431700367,0.38507468145157575,0.5217708680602051,8,8,,,
mean,scheduler64,err_sq_noJ,available_balanced,9.247656206638942,9.013963111845001,9.486031019282265,8,8,,,
mean,scheduler64,err_sq_scalar,available_balanced,0.8930503847219236,0.7376056277138934,1.0460454277188167,8,8,,,
mean,scheduler64,err_sq_full,available_balanced,1.4228231327328609,0.8888032607787824,2.0752380538164124,8,8,,,
mean,scheduler64,err_rel_noJ,available_balanced,0.31402019119288105,0.3100916889782738,0.31786666130392494,8,8,,,
mean,scheduler64,err_rel_scalar,available_balanced,0.08100291775312811,0.07324235917360813,0.08864109912150063,8,8,,,
mean,scheduler64,err_rel_full,available_balanced,0.03049917273358595,0.025223984913993313,0.03708621577708396,8,8,,,
mean,scheduler64,abs_full_minus_scalar,available_balanced,0.010257054894255536,-0.04932953385155472,0.08334565595387161,8,8,,,
