class_id,seed,group,origin_event,probe_boundary,a_norm,b_norm,cos_a_b,two_dot_a_b,remainder_norm,scheduler_difference_norm,lambda_oracle_projection,projection_resolved,parallel_mismatch_energy,perpendicular_energy,remainder_energy,scheduler_energy,two_dot_parallel_mismatch_perpendicular,two_dot_parallel_mismatch_remainder,two_dot_parallel_mismatch_scheduler,two_dot_perpendicular_remainder,two_dot_perpendicular_scheduler,two_dot_remainder_scheduler,cos_perpendicular_remainder,perpendicular_plus_remainder_norm,scheduler64_closure_norm,scheduler64_closure_tolerance,scheduler64_closure_pass,scheduler64_energy_closure_error,scheduler64_energy_closure_tolerance,scheduler64_gamma_oracle_diagnostic,scheduler64_err_oracle_scalar,scheduler64_full_minus_oracle_scalar,operational_closure_norm,operational_closure_tolerance,operational_closure_pass,operational_energy_closure_error,operational_energy_closure_tolerance,operational_gamma_oracle_diagnostic,operational_err_oracle_scalar,operational_full_minus_oracle_scalar
123,109,mlp_down_all_blocks,4,5,21.99231252383597,6.374766653323534,-0.9997830627670643,-280.33089360874357,0.07709015783196088,4.0868289201113445e-06,-0.28980052562355485,True,3.612777335046132e-05,0.01762972615838143,0.00594289243455664,1.6702170622258455e-11,-5.3176728428624975e-18,0.00034153175381711144,-1.1801499009451567e-08,-0.0043071951818236575,1.4453271442693396e-08,-6.057419234156207e-08,-0.21039859659696217,0.13879994024175377,7.906669536929658e-16,1.501537831750609e-11,True,0.0,2.964308293828198e-12,0.708907631792724,0.1358611824154635,-0.058771024583502585,7.906669536929658e-16,1.501535765956911e-11,True,3.469446951953614e-18,2.9643025032564243e-12,0.7089076764318499,0.13586121802975779,-0.05877145296936555
123,109,mlp_down_all_blocks,4,11,18.87070021830818,3.3154040218663474,-0.8344960956854575,-104.41881978225251,1.4929313010287233,4.04041243948516e-06,-0.1466130922467366,True,0.17345088969567174,3.3373207996921774,2.2288438695913166,1.6324932681146424e-11,3.5778671692021646e-16,-0.12026058543111712,-7.010188129082819e-07,-2.7463235175609353,1.084467893497827e-06,5.558430236269409e-07,-0.5034807831205562,1.6792382653222735,9.337722414730474e-16,1.7050019044199075e-10,True,4.440892098500626e-16,2.8830314559871134e-10,0.845735928282852,1.6730199514394717,-0.1800886504107484,9.337722414730474e-16,1.7050021815017057e-10,True,8.881784197001252e-16,2.883032395295542e-10,0.8457358836840292,1.6730203690387573,-0.18008888184630556
123,110,qkv_all_blocks,4,5,1.6044386935083579,0.46559228987576723,-0.9997033670485739,-1.4935853924472835,0.0002831290169094584,4.517917714251065e-06,-0.2901040605315191,True,8.565621172462959e-07,0.00012858684200074005,8.016204021611638e-08,2.0411580472743567e-11,-9.478828075367655e-20,1.8667700881707033e-09,-2.639607351987643e-10,-8.732896000223934e-07,2.398452616131112e-10,-1.6465164300563565e-11,-0.13600211000970752,0.01130458820306754,1.0301806278223303e-16,2.1342492818083173e-12,True,2.168404344971009e-19,1.0128652143328268e-12,0.7098953108917804,0.011304588158081469,-0.01102145914117201,1.0301812334512868e-16,2.1342491928990338e-12,True,2.168404344971009e-19,1.012865212315921e-12,0.709895399772339,0.0113045989527631,-0.01102146296664991
123,110,qkv_all_blocks,4,11,1.3484239832642106,0.3819236387820114,-0.5572433303323858,-0.5739550514667349,0.1143595150637366,3.806196403870669e-06,-0.1578319601616358,True,0.00021408910405133834,0.10057144045165867,0.013078098685612997,1.448713106483801e-11,3.7947076036992655e-19,-0.00040421064441799434,-4.570469555979859e-10,-0.05186890604473805,-3.8056764979772564e-08,-4.775109378203836e-10,-0.7151011105859891,0.2485571022773914,5.971635017425181e-17,2.581743571607811e-11,True,6.938893903907228e-18,7.159051155216695e-12,0.8319244070959781,0.2481730056873717,-0.13381349062363512,5.971635017425181e-17,2.581742786336473e-11,True,0.0,7.1590472575331204e-12,0.8319243955133514,0.24817292721135348,-0.1338134141720388
123,110,attention_output_all_blocks,4,5,0.17334354393348902,0.04995402606984899,-0.9988207569212909,-0.017297993203390757,0.00023567067163819962,4.554929188599584e-06,-0.2878394949020827,True,8.55890869913116e-08,5.881907345324826e-06,5.554066547040011e-08,2.0747379913156462e-11,3.225177208344255e-21,8.307426404503994e-10,-1.3516135176668053e-11,-1.350965310183176e-07,-6.358789478209982e-10,2.9520534992227265e-11,-0.11818152037316433,0.002408807065702214,6.333845279771928e-18,1.2426679070130343e-12,True,8.470329472543003e-22,1.0005888771309409e-12,0.7121686957718804,0.002408806647272376,-0.0021731359756341764,6.3338368974340275e-18,1.2426555621089404e-12,True,1.6940658945086007e-21,1.000588817218224e-12,0.712168562510084,0.0024086851014551575,-0.0021729078052934924
123,110,attention_output_all_blocks,4,11,0.1571328183854785,0.029869895081417897,-0.7952934770765171,-0.00746548476370898,0.00031204426936806196,3.7896772775978057e-06,-0.15117995695167236,True,7.56415200934967e-06,0.00032789479957446834,9.73716260454476e-08,1.4361653868341117e-11,1.7999450129153882e-21,-1.0245667110754559e-07,6.02958011409902e-11,1.9984343691812607e-06,-1.903648776171e-09,-8.80535763844218e-12,0.17683833564734397,0.018165643549560666,1.0885412940161197e-17,2.8369874820148803e-12,True,5.421010862427522e-20,1.0337452300907936e-12,0.8487015035127465,0.01816563400008396,-0.017853589730715897,1.0885412940161197e-17,2.8369824798055596e-12,True,0.0,1.0337450463111257e-12,0.8487015732733211,0.018165581767198114,-0.017853528594899422
123,110,mlp_down_all_blocks,4,5,22.46581984902944,6.504557237532844,-0.9998401051216494,-292.2136912475738,0.05020034485761761,4.24658259487402e-06,-0.2894849703170564,True,9.009004690397409e-07,0.013528987820207238,0.0025200746238237346,1.803346373508696e-11,-8.267041565201971e-19,-4.757785915794102e-05,2.00111500577244e-09,-0.003972723039012401,5.384021137778631e-10,-5.0423584217612626e-08,-0.3401879607179273,0.1098923992140429,1.4932207335530306e-15,1.1967981786240227e-11,True,6.591949208711867e-17,2.2029662446329736e-12,0.7093994149982736,0.10699614705506234,-0.056795802197444734,1.4932207335530306e-15,1.1967959965415676e-11,True,6.765421556309548e-17,2.20296145802961e-12,0.7093994619207987,0.10699616094636369,-0.056796318135125916
123,110,mlp_down_all_blocks,4,11,19.84298812191327,7.371209128840132,-0.19957809788757833,-58.38330551847558,7.179547614788781,3.717222436069401e-06,-0.07413862710731793,True,3.519535831836068,52.17049496253266,51.54590395301928,1.3817742639217731e-11,3.0531133177191805e-16,-5.150299185081377,-3.7592911623479794e-06,-98.9769963233425,3.393627824390164e-07,4.163982524464897e-06,-0.9543215166001247,2.177016902141421,1.2799244470455825e-15,1.7731333582472197e-10,True,2.6645352591003757e-15,3.118639238964119e-10,0.8566858111237672,1.6897440575755363,5.489803557213245,1.2799244470455825e-15,1.773133569254491e-10,True,3.552713678800501e-15,3.118639983032081e-10,0.8566857606313455,1.6897445762297467,5.48980332854919
206,107,qkv_all_blocks,4,5,1.6215143849360345,0.47063139438571644,-0.9996391913324043,-1.5257204601371446,0.0003841588213464994,4.493900306349369e-06,-0.29013716490584096,True,9.781914051816065e-07,0.00015980500993067228,1.4757800001833165e-07,2.0195139963406956e-11,-1.8454730338303069e-19,1.739450499074261e-08,-3.4517126947409814e-10,-6.828386455767674e-07,-3.588416119263338e-10,7.370578083713975e-11,-0.07030433280804778,0.012620211935031593,5.894906443037221e-17,2.2659594590479033e-12,True,0.0,1.0160265335195286e-12,0.7098574119724474,0.012620208871349322,-0.012236050050002823,5.894906443037221e-17,2.2659570493635456e-12,True,2.710505431213761e-20,1.0160264725083325e-12,0.7098575195872263,0.012620198495044156,-0.012235917476856773
206,107,qkv_all_blocks,4,11,1.386477761860471,0.5268558746874037,-0.3821680279757119,-0.5583275809447472,0.2543526056408716,3.895276376682024e-06,-0.14522228642637733,True,0.001058053791686195,0.23703630875277698,0.06469524799630073,1.5173178050737036e-11,-1.3552527156068805e-18,-0.0012078751367904906,-6.303623875274166e-09,-0.17442227019547685,1.2188458929565119e-07,-6.206567667226478e-08,-0.7042523589461535,0.3568042692480023,7.642944775853085e-17,3.665942585186933e-11,True,0.0,1.3715946520849658e-11,0.8413863357327527,0.35632086484607095,-0.10196825920519936,7.642944775853085e-17,3.6659433357662675e-11,True,2.7755575615628914e-17,1.3715951873895853e-11,0.841386265846217,0.3563209437580355,-0.10196846009452332
