class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,107,qkv_all_blocks,4,5,actual_local,0.0078125,0.0011403594022706856,0.999999349794776,0.001646469257709442,0.0006313561646979423,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,actual_local,0.015625,0.0,1.0,0.0008824875063466344,0.0,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,actual_local,0.03125,0.000601085535085889,0.99999981941015,0.00045461511878470534,0.00036829109607379966,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,accumulated,0.0078125,0.0011403594022706856,0.999999349794776,0.001646469257709442,0.0006313561646979423,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,accumulated,0.015625,0.0,1.0,0.0008824875063466344,0.0,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,accumulated,0.03125,0.000601085535085889,0.99999981941015,0.00045461511878470534,0.00036829109607379966,0.0015871021015947714,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,donor,0.0078125,0.001098376077075607,0.9999993968004001,0.001610246385318498,0.0006636841771272374,0.0015301871224459671,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,donor,0.015625,0.0,1.0,0.0008702235013374808,0.0,0.0015301871224459671,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,donor,0.03125,0.0005802759064364306,0.9999998317084174,0.0004655564712070785,0.00035484104519674077,0.0015301871224459671,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,isotropic,0.0078125,0.0011348892775875686,0.9999993560136452,0.0015994960207633916,0.0006836765302681046,0.0015784777813524745,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,isotropic,0.015625,0.0,1.0,0.0008622653163815768,0.0,0.0015784777813524745,True,True,True,False,True,True
123,107,qkv_all_blocks,4,5,isotropic,0.03125,0.0005871867444550236,0.9999998276424141,0.00045049994157687835,0.0003681335162982102,0.0015784777813524745,True,True,True,False,True,True
123,107,qkv_all_blocks,10,11,actual_local,0.0078125,0.0021201540292433386,0.9999977543120746,0.0031837388697231847,0.0013957972167192054,0.0029611993520394695,True,True,True,False,True,True
123,107,qkv_all_blocks,10,11,actual_local,0.015625,0.0,1.0,0.0017776137963538925,0.0,0.0029611993520394695,True,True,True,False,True,True
123,107,qkv_all_blocks,10,11,actual_local,0.03125,0.0010769514044455853,0.9999994201050527,0.0014538265137094292,0.0006978986083596027,0.0029611993520394695,True,True,True,False,True,True
123,107,qkv_all_blocks,10,11,accumulated,0.0078125,0.0013468528752250892,0.9999990937511111,0.002101385255977945,0.0008629575733435407,0.0018900764821369435,True,True,True,False,True,True
123,107,qkv_all_blocks,10,11,accumulated,0.015625,0.0,0.9999999999999998,0.0011926737617136587,0.0,0.0018900764821369435,True,True,True,False,True,True
