family,class_id,metric,value,expected_specs,defined_specs
accumulated,569,err_scalar,0.00701350559953379,9,9
accumulated,569,err_full,0.000176016332400265,9,9
accumulated,569,normalized_error_noJ,0.29314301222885986,9,9
accumulated,569,normalized_error_scalar,0.1325517645921219,9,9
accumulated,569,normalized_error_full,0.0026049261676220695,9,9
accumulated,569,relative_improvement_full_vs_noJ,0.9899335618946774,9,9
accumulated,701,R_J,0.2810967343140102,9,9
accumulated,701,err_noJ,0.014567338459955734,9,9
accumulated,701,err_scalar,0.008040240154784349,9,9
accumulated,701,err_full,0.0003150851044001858,9,9
accumulated,701,normalized_error_noJ,0.28086388667874496,9,9
accumulated,701,normalized_error_scalar,0.13651752851614157,9,9
accumulated,701,normalized_error_full,0.003187807728938237,9,9
accumulated,701,relative_improvement_full_vs_noJ,0.9866000669388799,9,9
accumulated,789,R_J,0.28492083694526193,9,9
accumulated,789,err_noJ,0.014479715590619478,9,9
accumulated,789,err_scalar,0.007500292121535464,9,9
accumulated,789,err_full,0.00012281785577317154,9,9
accumulated,789,normalized_error_noJ,0.28495638461579786,9,9
accumulated,789,normalized_error_scalar,0.13695680119171783,9,9
accumulated,789,normalized_error_full,0.0023398652052469826,9,9
accumulated,789,relative_improvement_full_vs_noJ,0.9909480793832408,9,9
accumulated,887,R_J,0.2793293365212608,9,9
accumulated,887,err_noJ,0.014169414013625684,9,9
accumulated,887,err_scalar,0.006429139309157162,9,9
accumulated,887,err_full,9.744846447493575e-05,9,9
accumulated,887,normalized_error_noJ,0.2794792085604007,9,9
accumulated,887,normalized_error_scalar,0.12292392633921875,9,9
accumulated,887,normalized_error_full,0.001983350713904175,9,9
accumulated,887,relative_improvement_full_vs_noJ,0.9917421703211858,9,9
donor,123,R_J,0.3132022522470793,9,9
donor,123,err_noJ,0.009104909424104949,9,9
donor,123,err_scalar,0.0014143255008113866,9,9
donor,123,err_full,6.402120909480205e-06,9,9
donor,123,normalized_error_noJ,0.31322444986286163,9,9
donor,123,normalized_error_scalar,0.10161876394806067,9,9
donor,123,normalized_error_full,0.0018189589438414677,9,9
donor,123,relative_improvement_full_vs_noJ,0.9939402977638235,9,9
donor,206,R_J,0.31935347041702705,9,9
donor,206,err_noJ,0.009422857725942129,9,9
donor,206,err_scalar,0.0015849772347423096,9,9
donor,206,err_full,7.024619693120235e-06,9,9
donor,206,normalized_error_noJ,0.3193597478741747,9,9
donor,206,normalized_error_scalar,0.10987754015800706,9,9
donor,206,normalized_error_full,0.0018043823398811497,9,9
donor,206,relative_improvement_full_vs_noJ,0.9941202810225866,9,9
donor,325,R_J,0.3175810603804864,9,9
donor,325,err_noJ,0.009250619805487144,9,9
donor,325,err_scalar,0.0015290098119486615,9,9
donor,325,err_full,6.6297389681988725e-06,9,9
donor,325,normalized_error_noJ,0.31759879193219304,9,9
donor,325,normalized_error_scalar,0.10824675673357231,9,9
donor,325,normalized_error_full,0.001795715195938501,9,9
donor,325,relative_improvement_full_vs_noJ,0.9940424658154675,9,9
donor,408,R_J,0.3229859120648444,9,9
donor,408,err_noJ,0.009368814442677497,9,9
donor,408,err_scalar,0.001622503170227471,9,9
donor,408,err_full,6.741775083762132e-06,9,9
donor,408,normalized_error_noJ,0.3229623347789665,9,9
donor,408,normalized_error_scalar,0.11303108614494134,9,9
donor,408,normalized_error_full,0.001801126508244295,9,9
donor,408,relative_improvement_full_vs_noJ,0.9942979581603208,9,9
donor,569,R_J,0.31895808429801886,9,9
donor,569,err_noJ,0.009598179907981083,9,9
donor,569,err_scalar,0.0016472455978166236,9,9
