family,metric,point,defined_classes,lower95,upper95,lower_two95,upper_two95
actual_local,R_J,0.3111267363317709,8,0.3060398760471626,0.31597798174906694,0.3049774016278689,0.31679672795224467
actual_local,err_noJ,0.0093884176967322,8,0.00920496073023232,0.009564956086097183,0.009166170912016476,0.009596510530144096
actual_local,err_scalar,0.002436536101738107,8,0.0022622599446089162,0.002618733472428038,0.002232286817330213,0.0026522989349246438
actual_local,err_full,1.9525619522211492e-05,8,1.7446073877022726e-05,2.163734861167931e-05,1.7072639090087104e-05,2.207169703246794e-05
actual_local,normalized_error_noJ,0.31117897647072557,8,0.3060887326688933,0.31602896626312627,0.30501470823629206,0.31685291061650733
actual_local,normalized_error_scalar,0.15348731394395715,8,0.14518425552155845,0.16123721522350246,0.14357070529715346,0.16254764132220748
actual_local,normalized_error_full,0.0019178448390721593,8,0.001894031259760212,0.0019409094709602168,0.0018893613462112881,0.0019446096927390913
actual_local,relative_improvement_full_vs_noJ,0.9935264610042656,8,0.993321988217443,0.9937324961479703,0.9932832257087219,0.9937723322805085
accumulated,R_J,0.28340975315856465,8,0.2778268229685182,0.2893532525765777,0.2769813538198577,0.2904955657138229
accumulated,err_noJ,0.014130429587099123,8,0.013735766822764502,0.014486227064395181,0.013649252504534106,0.014534677223239856
accumulated,err_scalar,0.006929408320373553,8,0.006490337615691391,0.007354978532518451,0.006400707344946367,0.007422921329506714
accumulated,err_full,0.0001582374047426708,8,0.00012133877759827166,0.00020135166663633904,0.00011658074697723983,0.00021051014340968692
accumulated,normalized_error_noJ,0.2834951826943053,8,0.27788930511489773,0.28947087954821726,0.277039061428058,0.2905760437112847
accumulated,normalized_error_scalar,0.13066228939815944,8,0.12351149638847869,0.1376645496844157,0.12206427686169971,0.13880608105827674
accumulated,normalized_error_full,0.0024771078871175575,8,0.0022809069674293104,0.0026901505414492983,0.00224389689848573,0.0027302110932875554
accumulated,relative_improvement_full_vs_noJ,0.9897972665576663,8,0.9889060377559056,0.9905616806733565,0.9887238716190868,0.9906879131281985
donor,R_J,0.32884849458579596,8,0.3197215742028198,0.3389532102609887,0.31875849444367255,0.3409180884210987
donor,err_noJ,0.009545106508956066,8,0.009377987680296882,0.009717048584552815,0.00934538285075771,0.00975104132052717
donor,err_scalar,0.001691705379774899,8,0.0015677202971286076,0.001831468489250098,0.0015503683971035938,0.0018560947159509493
donor,err_full,6.891028066628474e-06,8,6.6928802843599475e-06,7.092662212318918e-06,6.654807506800626e-06,7.1301515373475476e-06
donor,normalized_error_noJ,0.32885507509024914,8,0.3197256128410244,0.3389512923735652,0.3187780661526072,0.3409191147378435
donor,normalized_error_scalar,0.11744610373834713,8,0.10947676149271245,0.1263163431286286,0.10855445868520541,0.12783119756941685
donor,normalized_error_full,0.0018025296531894702,8,0.0017771389730974747,0.0018264299613340276,0.0017681746732387648,0.0018327364718979326
donor,relative_improvement_full_vs_noJ,0.9942694655413888,8,0.9940456503521011,0.9945239421182808,0.9940137346271049,0.9945810232965299
isotropic,R_J,0.3345771636241326,8,0.32458981812564025,0.34547411598318895,0.3237562955785684,0.3475613644293286
isotropic,err_noJ,0.009514155346585763,8,0.009342998163735423,0.0096917445287649,0.009308914768543772,0.009727215497395674
isotropic,err_scalar,0.001694439084869103,8,0.00157631684150967,0.0018273876079778018,0.0015563895183606832,0.0018512361236607219
isotropic,err_full,6.890999177816198e-06,8,6.6959220054493576e-06,7.075945695563227e-06,6.659607826741016e-06,7.11069033921658e-06
isotropic,normalized_error_noJ,0.3345879556122057,8,0.3245957225395455,0.34548855403080225,0.3237622042241903,0.3475719534490747
isotropic,normalized_error_scalar,0.11373988051184075,8,0.10503209799233831,0.12345821356985683,0.10410295070121238,0.1251469852764346
isotropic,normalized_error_full,0.0017354149944295723,8,0.0017162423505333502,0.0017564752976976172,0.00171237320018405,0.0017613340829802462
isotropic,relative_improvement_full_vs_noJ,0.9947271992663764,8,0.9945512335503534,0.9949296141206617,0.9945233748477098,0.994972741118257
