class_id,seed,group,event_stage,probe_stage,family,alpha,v_requested_norm,v_realized_norm,relative_norm_error,cosine_realized_requested,plus_step_error,minus_step_error,input_radius,input_error_norm,input_bound_contains_error,unchanged_plus_fraction,unchanged_minus_fraction,asymmetric_fraction,R_pass,ulp_median,ulp_q95,ulp_max,Jv_norm,D_J64_norm,signal_norm,full_norm,direct_norm,prediction_cell_bound,fp64_arithmetic_bound,numerical_error_bound,resolution_ratio,full_denominator_bound,full_denominator_resolved,R_J,R_J_lower,R_J_upper,N_pass,operational_gap,operational_error_norm,operational_error_bound,operational_bound_contains_error,operational_bound_tightness,v1_identity_pass,fp64_identity_error,fp64_identity_is_qualification_gate,raw_reference
123,107,qkv_all_blocks,4,5,actual_local,0.0078125,1.161543587379488,1.1615428077388341,0.000178621631805151,0.9999999840473711,0.00020751972375942753,0.00020750952547458058,0.00036134060989038,0.00020747681099053314,True,0.000244140625,0.000244140625,0.001708984375,True,1551.0,18520.75,20712584.0,1.1600728359112882,0.47404898674731005,0.4740489867473122,1.1601841892526317,1.6338933829760962,0.0001465890739102619,9.027996220571731e-11,0.00014658916235496473,3233.861079029878,0.0006539249327640928,True,0.408598040844433,0.40824159010105604,0.40895489363342374,True,0.47405936480663136,0.0003279017530546587,0.02816026593910581,True,0.01164412842420304,True,6.173417582382882e-13,False,8ee5c9b94f50666da765aa7fb1e56c74fc634700174528f06d8053acaf112e38
123,107,qkv_all_blocks,4,5,actual_local,0.015625,1.161543587379488,1.1615453857864055,8.938044344980634e-05,0.999999996006773,0.00010381945302952034,0.00010383773378413904,0.00018068383402177973,0.0001038192809262575,True,0.0,0.0,0.001708984375,True,3101.5,37042.0,1930863557.0,1.160077173476892,0.47405075923824574,0.474050759238242,1.1601854064852606,1.6338970094071212,7.32922721696188e-05,4.5139981062608784e-11,7.329231639215553e-05,6467.946199186845,0.0003269793642291543,True,0.40859913992054214,0.4084208602176189,0.40877752014225716,True,0.47405350539830476,0.00016807679215270627,0.014080132954772543,True,0.011937159449601338,True,2.998372958339146e-13,False,60120c468bd410c230da2de2defd782b3b1abee371090f1c937fd09e00d61eca
123,107,qkv_all_blocks,4,5,actual_local,0.03125,1.161543587379488,1.1615433027269966,4.5827137263385256e-05,0.9999999989499663,5.326978096197109e-05,5.323388814737691e-05,9.035200492290717e-05,5.323021741624472e-05,True,0.0,0.0,0.00244140625,True,6203.0,74083.5,1945866467.0,1.1600898900281618,0.4740559556949247,0.47405595569492787,1.160177285631024,1.633894079255117,3.6646063186606e-05,2.2569990676192906e-11,3.664608529795082e-05,12936.05993220335,0.00016350506949726074,True,0.40860647899780883,0.4085173195742389,0.40869566355559356,True,0.47405394510947374,8.183684481971128e-05,0.007040066528034337,True,0.011624441969948402,True,1.574276446784701e-13,False,1cc070c9dabc6c6929db602ad8f925b31eab939c0fd20eb70d570fa4f3c6162e
123,107,qkv_all_blocks,4,5,accumulated,0.0078125,1.161543587379488,1.1615428077388341,0.000178621631805151,0.9999999840473711,0.00020751972375942753,0.00020750952547458058,0.00036134060989038,0.00020747681099053314,True,0.000244140625,0.000244140625,0.001708984375,True,1551.0,18520.75,20712584.0,1.1600728359112882,0.47404898674731005,0.4740489867473122,1.1601841892526317,1.6338933829760962,0.0001465890739102619,9.027996220571731e-11,0.00014658916235496473,3233.861079029878,0.0006539249327640928,True,0.408598040844433,0.40824159010105604,0.40895489363342374,True,0.47405936480663136,0.0003279017530546587,0.02816026593910581,True,0.01164412842420304,True,6.173417582382882e-13,False,8ee5c9b94f50666da765aa7fb1e56c74fc634700174528f06d8053acaf112e38
123,107,qkv_all_blocks,4,5,accumulated,0.015625,1.161543587379488,1.1615453857864055,8.938044344980634e-05,0.999999996006773,0.00010381945302952034,0.00010383773378413904,0.00018068383402177973,0.0001038192809262575,True,0.0,0.0,0.001708984375,True,3101.5,37042.0,1930863557.0,1.160077173476892,0.47405075923824574,0.474050759238242,1.1601854064852606,1.6338970094071212,7.32922721696188e-05,4.5139981062608784e-11,7.329231639215553e-05,6467.946199186845,0.0003269793642291543,True,0.40859913992054214,0.4084208602176189,0.40877752014225716,True,0.47405350539830476,0.00016807679215270627,0.014080132954772543,True,0.011937159449601338,True,2.998372958339146e-13,False,60120c468bd410c230da2de2defd782b3b1abee371090f1c937fd09e00d61eca
123,107,qkv_all_blocks,4,5,accumulated,0.03125,1.161543587379488,1.1615433027269966,4.5827137263385256e-05,0.9999999989499663,5.326978096197109e-05,5.323388814737691e-05,9.035200492290717e-05,5.323021741624472e-05,True,0.0,0.0,0.00244140625,True,6203.0,74083.5,1945866467.0,1.1600898900281618,0.4740559556949247,0.47405595569492787,1.160177285631024,1.633894079255117,3.6646063186606e-05,2.2569990676192906e-11,3.664608529795082e-05,12936.05993220335,0.00016350506949726074,True,0.40860647899780883,0.4085173195742389,0.40869566355559356,True,0.47405394510947374,8.183684481971128e-05,0.007040066528034337,True,0.011624441969948402,True,1.574276446784701e-13,False,1cc070c9dabc6c6929db602ad8f925b31eab939c0fd20eb70d570fa4f3c6162e
123,107,qkv_all_blocks,4,5,donor,0.0078125,1.161543587728918,1.161541461579283,0.00017464708283589182,0.9999999847508461,0.00020287433204319242,0.00020286512032160182,0.00036131543271693473,0.0002028601991835913,True,0.00048828125,0.00048828125,0.001220703125,True,1601.0,18935.25,1871300257.0,1.161040306923773,0.47444433145238085,0.47444433145238457,1.1595982681241588,1.6338914893901149,0.00014658891201534913,9.02799620834433e-11,0.0001465890004600215,3236.561610785916,0.0006538843721015233,True,0.4091454294941958,0.4087885046638199,0.4095027570834476,True,0.47444339375509836,0.00032699632793911415,0.028160265895426122,True,0.011611975865335345,True,6.175381485449613e-13,False,a4b17f8a83e154aa5fbecf055f228b7ccadabfbe2b8aad8300c6075672f98d0f
123,107,qkv_all_blocks,4,5,donor,0.015625,1.161543587728918,1.1615417728343664,8.922587764091871e-05,0.9999999960205861,0.00010364812721678301,0.00010364068866031802,0.00018068288605054605,0.00010363974603329416,True,0.0,0.0,0.001220703125,True,3202.0,37869.75,1920359111.0,1.161047489472574,0.4744472665094596,0.4744472665094569,1.159595214995526,1.633891927219543,7.329782292192437e-05,4.513998109929754e-11,7.329786714499452e-05,6472.865923518986,0.0003269784556104356,True,0.4091490378487699,0.4089705079535541,0.40932766845480917,True,0.4744486394841328,0.00016754203482696945,0.014080132967829168,True,0.011899179873498068,True,3.0493501769795335e-13,False,141832b795cd1c4f2313f8a5e59e4ed5c47e066bc8c335066336c4db1838cf17
123,107,qkv_all_blocks,4,5,donor,0.03125,1.161543587728918,1.16154468081524,4.441269668835136e-05,0.9999999990142002,5.16246119748523e-05,5.1592158992453016e-05,9.035079463747369e-05,5.158728305210387e-05,True,0.0,0.0,0.00341796875,True,6404.0,75739.5,1933908428.0,1.1610337048335426,0.4744416335923131,0.47444163359231306,1.1596048803836472,1.633896017753848,3.664379371442981e-05,2.256999069157066e-11,3.6643815826516567e-05,12947.386152099172,0.0001635000258215216,True,0.4091407699451449,0.4090514949277999,0.40923007014093854,True,0.4744411765736644,8.210056177615801e-05,0.007040066532779859,True,0.011661901403045346,True,1.525084188961641e-13,False,9aa3c841c710def078b527826209ff2e4c21d1f5faedbc54a6cdae574a594d19
123,107,qkv_all_blocks,4,5,isotropic,0.0078125,1.1615435888790329,1.1615448073250407,0.00017629580138074893,0.9999999844604619,0.00020477542102953036,0.0002047806648082572,0.0003613411599415612,0.00020477525784010027,True,0.0,0.0,0.001708984375,True,1681.0,17527.0,13479254.0,1.1605716358127236,0.47425281497304744,0.4742528149730455,1.1597700817356145,1.6338961957098692,0.00014658890945632233,9.02799620235887e-11,0.00014658899790084625,3235.2551812505953,0.000653923782566522,True,0.408919683687062,0.40856292503483255,0.4092768448752508,True,0.47424684745227436,0.00033132802463923736,0.028160265874109074,True,0.01176579887847809,True,6.186644192139958e-13,False,ed285120e35c690e82f912fedbe349f563f33a8a1873763ef7ff9bf44e7708c8
