contrast,left,right,metric,alpha,class_order,bonferroni_comparisons,point,defined_classes,lower95,upper95,lower_two95,upper_two95,lower_familywise95,upper_familywise95
full_minus_noJ_absolute_error,full,noJ,absolute_error,0.0078125,"[123, 206, 325, 408, 569, 701, 789, 887]",5,-0.009369768768061032,8,-0.009544753276920111,-0.009187784011280927,-0.009575814567883471,-0.00914878493579739,-0.009637178005523531,-0.009080003727957512
full_minus_scalar_absolute_error,full,scalar,absolute_error,0.0078125,"[123, 206, 325, 408, 569, 701, 789, 887]",5,-0.002417480047491202,8,-0.0025982235717321236,-0.0022453185552920537,-0.002631081715496201,-0.0022143212629808923,-0.0027109350705464778,-0.002161252268733797
scalar_minus_noJ_absolute_error,scalar,noJ,absolute_error,0.0078125,"[123, 206, 325, 408, 569, 701, 789, 887]",5,-0.006942218594456408,8,-0.007067703609894665,-0.006831868111168376,-0.00708971686275303,-0.006816774926268325,-0.007140345463247164,-0.006790891031073401
actual_minus_donor_R_J,actual_local,donor,R_J,0.015625,"[123, 206, 325, 408, 569, 701, 789, 887]",5,-0.015674584077137052,8,-0.02288724701354075,-0.008856095528650555,-0.024173379846680526,-0.007729434344539383,-0.02704193976225376,-0.00563915155435151
actual_minus_isotropic_R_J,actual_local,isotropic,R_J,0.015625,"[123, 206, 325, 408, 569, 701, 789, 887]",5,-0.021926520968954612,8,-0.029805398913871545,-0.014508927764825673,-0.03126878647299475,-0.013383130216492373,-0.03418933455637259,-0.011220091510451613
